,reviewrating,reusefulcount,recoolcount,refunnycount,friendcount,fancount,tipcount,reviewcount,firstcount,usefulcount,coolcount,complimentcount,funnycount,busrating,buscateg,pricerange,monmembership,firstreview,maxReviewDay,avgReviewDay,avgpostedrating,avgreviewlen,polarity,subjective
24,2,0,0,0,0,0,0,4,0,1,1,0,1,4.0,1,2,13,0,3,2,2,634,0.09285714285714287,0.6119047619047618
25,4,0,0,0,1,0,0,36,0,32,26,3,24,4.0,1,1,49,0,7,1,3,718,0.22682539682539685,0.43460317460317455
26,4,0,0,0,0,0,0,6,0,1,1,0,0,4.0,1,1,1,0,2,1,4,354,-0.11041666666666668,0.5145833333333333
27,5,0,0,0,2,0,0,53,0,23,4,0,3,4.0,0,1,45,0,19,4,3,414,0.5351020408163265,0.7251020408163266
28,4,2,1,1,56,4,0,233,33,564,476,97,430,4.0,1,1,37,0,11,2,3,642,0.21969696969696964,0.3888888888888889
29,5,0,0,0,45,0,17,35,0,9,5,2,1,4.0,1,2,4,0,7,2,4,239,0.7000000000000001,0.7000000000000001
30,4,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0,1,0,0,1,1,4,1389,0.22235449735449736,0.47605820105820107
31,5,0,0,0,0,0,0,6,0,0,0,0,0,3.5,0,2,7,0,3,2,4,462,0.5642857142857143,0.6803571428571429
32,4,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,1,0,0,2,2,4,571,0.39999999999999997,0.5357142857142857
33,5,0,0,0,0,0,0,4,0,0,0,0,1,3.5,1,1,0,0,4,4,5,220,0.1333333333333333,0.7000000000000001
34,4,0,0,0,0,0,0,6,0,1,1,0,2,3.5,1,2,0,0,6,6,3,528,0.5,0.65
35,1,0,0,0,1,0,0,2,0,2,0,0,1,4.0,1,1,28,0,1,1,2,1145,0.016040100250626556,0.4217177559282822
36,4,1,2,2,35,3,0,75,2,103,48,28,43,4.0,1,1,14,0,4,1,3,1669,0.23547619047619045,0.5509475709475709
37,5,0,0,0,40,6,0,113,2,143,43,18,30,4.5,1,0,22,0,8,2,3,982,0.06539115646258503,0.5269557823129252
38,4,0,0,0,18,1,0,6,0,4,2,0,9,4.0,1,2,7,0,5,3,4,285,0.0,0.0
39,5,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0,1,0,0,1,1,5,1666,0.02202380952380954,0.6565476190476192
40,4,0,0,0,0,0,0,15,0,10,4,0,5,4.0,1,0,19,0,3,1,3,351,0.24285714285714288,0.4714285714285715
41,4,0,0,0,0,0,0,8,0,0,0,0,0,4.5,1,2,0,0,3,2,3,417,0.65,0.7333333333333333
42,4,0,0,0,1,0,0,18,0,5,2,0,1,4.0,1,2,0,0,9,3,3,299,0.55,0.6
43,5,0,0,0,3,0,0,7,0,1,1,2,0,4.0,1,1,27,0,2,1,4,337,0.35277777777777775,0.6444444444444444
44,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,1,335,-0.13333333333333322,0.5444444444444444
45,5,0,0,0,20,0,3,36,0,6,4,3,1,4.0,1,1,30,0,20,5,4,505,0.4486363636363637,0.4716666666666667
46,5,0,0,0,35,0,9,16,0,1,0,3,0,3.5,1,1,20,0,2,1,3,550,0.25333333333333335,0.41925925925925916
47,1,1,0,1,0,0,0,3,0,1,0,0,2,3.5,1,1,34,0,2,1,2,872,0.1830128205128205,0.6192307692307693
48,5,0,0,0,0,0,0,3,0,1,0,0,0,3.5,1,1,0,0,2,1,2,389,0.3833333333333333,0.46666666666666673
49,5,0,0,0,0,0,0,4,0,2,2,0,0,4.0,1,1,13,0,2,1,5,498,0.5,0.6733333333333333
50,5,0,0,0,0,0,0,1,0,0,1,0,0,3.5,1,1,1,0,1,1,5,1507,0.07055555555555555,0.33944444444444444
51,5,0,0,0,4,0,0,20,0,0,0,0,1,4.0,1,1,1,0,4,2,3,583,0.23611111111111113,0.45
52,5,0,0,0,0,0,0,1,0,1,1,0,1,4.0,1,2,0,0,1,1,5,1069,0.2640625,0.4770833333333333
53,4,0,0,0,0,0,0,3,1,0,0,0,0,3.5,0,1,0,0,3,3,4,255,0.6428571428571428,0.7678571428571428
54,4,0,0,0,10,2,0,125,7,44,18,10,14,4.0,1,0,28,0,5,1,3,625,0.4044155844155844,0.6214285714285713
55,4,0,1,0,3,0,0,70,2,31,13,3,7,4.0,1,1,16,0,5,1,3,832,0.3157142857142857,0.5938095238095238
56,5,0,0,0,14,0,21,111,1,49,15,10,20,4.0,1,2,24,0,15,4,3,633,0.43071428571428577,0.5271428571428571
57,5,0,0,0,0,0,1,5,0,4,2,0,1,4.0,1,1,18,0,2,1,4,183,-0.08333333333333333,0.11666666666666667
58,5,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,1,36,0,2,1,5,192,0.8,0.75
59,4,5,2,5,106,6,0,83,1,364,293,123,272,4.0,1,1,18,0,6,2,3,1155,0.28095238095238095,0.6187037037037038
60,2,0,0,1,0,0,0,13,0,3,2,0,1,4.0,1,1,23,0,5,3,3,687,0.312987012987013,0.5152597402597403
61,2,0,0,0,0,0,0,2,0,1,0,0,0,4.0,1,1,0,0,2,2,3,199,0.0,0.0
62,5,0,0,0,0,0,0,3,0,1,0,0,0,4.0,1,0,0,0,3,3,5,433,0.4051948051948052,0.5357142857142858
63,5,0,0,0,18,0,16,23,0,10,2,1,1,3.5,2,2,0,0,8,1,3,284,0.3595238095238095,0.4714285714285715
64,1,0,0,0,0,1,0,11,1,21,3,1,5,4.0,1,1,0,0,10,4,2,370,-0.4816137566137566,0.6977513227513227
65,4,5,0,1,65,7,0,188,4,166,66,57,116,4.0,1,0,1,0,12,1,3,1375,0.24,0.5291666666666666
66,3,2,2,0,824,100,44,2530,1388,7229,6139,2965,1623,3.5,0,2,34,0,26,3,3,873,0.06225490196078433,0.4063725490196079
67,5,0,0,0,2,0,0,7,0,2,2,0,0,4.0,1,2,42,0,6,2,4,632,0.45714285714285713,0.5857142857142856
68,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,10,0,1,1,5,46,1.0,0.3
69,5,0,0,0,0,0,0,6,0,1,1,0,0,4.0,1,2,0,0,4,3,4,256,0.3333333333333333,0.26666666666666666
70,5,0,1,0,1,1,5,19,3,20,11,3,8,4.0,1,2,54,0,3,1,2,756,0.33999999999999997,0.41
71,1,0,0,0,15,0,0,19,0,7,1,2,3,4.0,1,2,2,0,4,1,3,523,0.2537037037037037,0.4629629629629629
72,5,0,0,0,0,0,0,17,0,2,0,0,0,4.5,1,1,0,0,17,17,4,123,0.0,0.0
73,5,0,0,0,0,0,0,1,0,0,0,0,0,3.5,1,1,54,0,1,1,5,511,0.53,0.3866666666666667
74,2,0,0,0,0,0,0,3,0,4,0,0,1,4.0,1,1,12,0,4,4,2,955,0.09722222222222221,0.3527777777777778
75,4,0,0,0,166,2,42,51,2,0,0,17,2,3.5,2,2,5,0,50,25,3,75,0.0,0.0
76,4,0,0,0,68,7,3,132,0,154,84,24,22,4.0,1,2,6,0,10,2,3,721,0.2558201058201058,0.4091710758377424
77,4,0,0,0,0,0,0,13,0,6,3,0,5,4.5,1,2,5,0,4,1,3,313,0.21341269841269842,0.5723015873015873
78,5,0,0,0,0,0,0,4,0,7,6,0,9,4.0,1,1,0,0,4,4,5,333,0.12,0.4666666666666666
79,5,0,0,0,0,0,0,2,0,1,1,0,1,4.0,1,1,0,0,2,2,3,501,0.0,0.0
80,5,0,0,3,0,0,0,31,0,10,4,0,14,4.5,1,3,0,0,17,8,4,641,0.28741258741258735,0.41616161616161607
81,2,1,0,0,0,0,0,6,0,2,0,0,0,4.0,1,2,11,0,2,1,4,280,0.0775,0.385
82,5,2,1,0,273,47,0,774,53,1846,1439,732,1565,4.0,1,0,23,0,11,1,3,668,0.23194444444444443,0.5875
83,5,0,0,0,26,0,0,4,1,0,0,0,0,4.0,1,0,0,0,4,4,5,137,0.375,0.5875
84,4,0,0,1,112,13,5,222,22,340,190,112,195,4.0,1,3,37,0,7,1,3,698,0.1455357142857143,0.4947420634920635
85,1,0,0,0,13,0,1,8,0,3,0,1,1,2.5,0,1,10,0,6,2,3,502,-0.19166666666666668,0.5416666666666666
86,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,5,688,0.39545454545454545,0.5121212121212121
87,1,0,0,0,0,0,0,1,0,0,0,0,0,3.5,0,1,11,0,1,1,1,1744,0.22682539682539682,0.624973544973545
88,5,0,0,0,0,0,0,3,0,2,0,0,0,3.5,1,1,0,0,2,1,4,675,0.31577380952380946,0.6086309523809523
89,2,0,0,0,10,0,0,8,0,14,3,0,2,4.0,1,1,33,0,2,1,3,1001,0.012222222222222235,0.6066666666666667
90,4,0,0,0,0,0,0,16,0,1,0,0,0,4.0,1,2,0,0,16,16,4,226,0.55,0.475
91,5,0,0,0,0,0,0,4,0,0,0,0,0,4.0,1,2,0,0,4,4,4,668,0.1488095238095238,0.2511904761904762
92,5,0,0,0,0,0,0,2,0,1,0,0,0,4.0,1,1,3,0,1,1,5,726,0.06267217630853994,0.3402203856749311
93,4,0,0,0,52,3,111,89,4,68,18,9,5,3.0,0,1,13,0,7,2,3,765,0.35681818181818187,0.5522727272727272
94,4,0,0,0,6,1,0,10,1,11,11,0,11,3.5,0,2,19,0,4,2,4,141,0.4666666666666667,0.5317307692307692
95,5,0,0,0,0,0,0,9,0,10,4,0,3,4.0,1,1,11,0,4,2,4,357,0.175,0.6555555555555556
96,3,0,0,0,1,0,0,26,1,30,4,2,7,3.5,1,1,17,0,9,2,4,754,0.4110544217687075,0.5051020408163265
97,5,3,0,0,48,2,11,42,1,55,37,24,36,4.0,1,2,28,0,5,1,4,972,0.29999999999999993,0.6075757575757575
98,4,0,0,0,81,1,1,93,7,91,40,31,30,4.0,1,1,26,0,12,2,3,1021,-0.09603174603174602,0.5419973544973545
99,5,0,0,0,0,0,0,1,0,2,0,0,0,3.5,0,1,1,0,1,1,5,691,0.5130252100840336,0.5359010270774975
100,3,0,0,0,7,1,15,97,0,40,15,2,9,3.5,1,1,16,0,7,2,3,414,0.04545454545454545,0.5181818181818182
101,5,0,0,0,0,0,0,14,0,5,4,1,2,4.0,1,2,9,0,7,2,3,492,0.4833333333333334,0.39166666666666666
102,5,0,0,0,0,0,0,12,0,3,1,0,0,4.0,1,1,0,0,12,12,5,352,-0.2125,0.6541666666666667
103,5,2,2,1,23,6,0,175,25,230,136,35,67,4.0,1,2,40,0,10,2,4,402,0.4270833333333333,0.5770833333333333
104,2,0,0,0,0,0,0,3,0,0,0,0,0,3.5,1,1,17,0,1,1,4,607,-0.06285714285714286,0.5214285714285715
105,4,1,0,0,5,1,1,6,0,6,2,0,0,3.5,0,1,27,0,2,1,3,543,0.30384615384615377,0.7320512820512821
106,4,1,2,0,0,0,1,61,4,99,25,2,36,4.0,1,0,10,0,5,1,3,701,0.5055555555555555,0.7611111111111111
107,5,0,0,0,0,0,0,3,0,14,8,0,1,4.0,1,1,0,0,3,3,4,742,0.34123622589531677,0.5377525252525253
108,1,0,0,0,3,0,0,16,0,6,2,1,0,4.0,1,0,46,0,4,1,4,620,0.0,0.1
109,2,0,0,0,0,0,0,8,0,1,0,0,0,4.0,1,1,0,0,8,8,3,519,0.04629629629629631,0.5166666666666667
110,5,0,0,0,0,0,0,9,0,2,1,0,0,4.0,1,3,13,0,2,1,4,373,0.45909090909090916,0.6875
111,2,0,0,0,3,0,0,3,0,0,0,0,0,2.0,0,1,0,0,3,3,2,799,0.2,0.275
112,4,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,1,0,0,2,2,2,732,0.6,1.0
113,5,0,0,0,0,0,0,8,0,1,1,1,1,4.0,1,1,0,0,5,2,4,472,0.43809523809523815,0.5833333333333334
114,3,6,4,4,88,24,0,342,13,1652,1301,937,1573,3.5,1,1,22,0,12,1,3,1599,0.18750000000000006,0.4447916666666667
115,5,1,0,0,22,0,10,27,0,28,13,0,8,4.5,1,1,35,0,4,1,3,1407,0.24147286821705424,0.39174972314507195
116,4,0,0,0,3,0,0,48,0,40,14,3,13,4.0,1,1,25,0,5,1,3,734,0.2388888888888889,0.43333333333333335
117,5,0,0,0,0,0,0,8,2,1,0,0,1,3.5,1,1,0,0,5,4,4,132,0.8,0.75
118,3,0,0,0,0,0,0,11,0,1,1,0,1,4.0,1,1,0,0,7,3,2,252,0.2333333333333333,0.27499999999999997
119,4,0,0,0,0,0,0,2,0,0,0,0,0,3.5,0,2,0,0,1,1,4,823,0.25666666666666665,0.5166666666666667
120,1,0,0,0,3,0,0,1,0,2,0,0,0,4.0,1,1,0,0,1,1,1,2649,0.07766798418972332,0.476526130873957
121,4,1,1,0,34,3,0,117,8,124,48,58,44,4.5,1,1,40,0,9,1,3,953,0.5666666666666667,0.5555555555555556
122,4,0,0,0,0,0,0,4,0,0,0,0,0,4.0,1,2,17,0,1,1,3,1109,0.24791666666666667,0.4604166666666667
123,4,0,0,2,3,0,0,54,0,30,9,3,8,4.0,1,1,7,0,23,5,3,677,0.22385846038019952,0.4440692640692641
124,1,0,0,0,2,0,0,13,0,1,1,0,0,4.0,1,2,6,0,6,2,4,348,-0.13053571428571428,0.5092261904761904
125,5,1,0,0,15,1,12,29,3,31,4,3,4,4.0,1,1,14,0,5,1,3,601,0.31233766233766236,0.4341269841269841
126,5,0,0,0,28,0,0,4,0,5,2,4,5,3.5,1,1,3,0,2,1,4,498,0.07936507936507936,0.4793650793650794
127,5,0,1,0,5,2,0,12,1,21,16,0,14,4.5,1,3,25,0,4,1,4,758,0.3025641025641026,0.4628205128205129
128,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,5,200,0.13712121212121212,0.5681818181818182
129,5,0,0,0,0,0,0,5,0,0,0,0,0,4.0,1,1,0,0,5,5,4,390,0.25,0.6595238095238096
130,3,0,0,0,0,0,4,3,0,0,0,0,0,4.0,1,1,0,0,3,3,3,255,0.5607142857142857,0.47619047619047616
131,2,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,0,0,0,2,2,2,733,0.16041666666666665,0.2625
132,3,2,0,0,27,4,0,160,14,235,133,53,172,3.5,0,2,33,0,13,2,3,498,0.44000000000000006,0.5266666666666667
133,3,0,1,0,39,1,85,147,3,69,28,5,57,3.5,0,2,20,0,10,2,4,421,0.006249999999999996,0.5465277777777778
134,3,0,0,1,111,12,94,260,11,250,210,119,149,3.5,0,2,66,0,10,1,4,1031,0.10833333333333334,0.4742753623188406
135,4,0,0,0,2,0,0,5,0,2,0,0,0,4.0,1,2,7,0,3,1,4,1044,0.1853846153846154,0.4453846153846154
136,3,0,0,0,62,5,254,239,0,155,45,37,49,3.5,1,1,7,0,15,2,3,394,0.23541666666666664,0.42500000000000004
137,1,0,0,0,0,0,0,1,0,0,0,1,0,4.0,1,1,0,0,1,1,1,122,0.08333333333333334,0.5833333333333333
138,5,0,0,0,8,0,0,4,0,0,0,0,0,4.0,1,1,2,0,2,1,4,458,0.2839285714285714,0.4151785714285714
139,4,0,0,0,0,0,0,21,0,4,1,0,2,3.5,0,2,13,0,3,1,3,230,0.3766233766233766,0.5387445887445887
140,5,0,0,0,0,0,0,1,0,1,1,0,1,4.0,1,0,0,0,1,1,5,222,0.45,0.3333333333333333
141,4,1,1,0,48,8,20,423,66,585,215,62,397,4.0,1,1,57,0,16,2,3,811,0.17671957671957672,0.6134920634920635
142,4,0,0,0,1,0,0,3,0,0,0,1,0,3.5,0,2,0,0,4,4,4,762,0.30696969696969695,0.43
143,5,0,0,0,0,0,0,51,1,13,4,1,1,3.5,1,1,10,0,4,1,3,509,0.16666666666666666,0.3
144,4,0,0,0,13,1,0,68,0,55,40,12,26,4.0,1,3,37,0,3,1,3,684,0.34742063492063496,0.584920634920635
145,5,0,0,0,4,1,0,49,0,27,14,8,7,4.0,1,1,0,0,25,4,4,374,0.6625,0.6375000000000001
146,4,0,0,0,0,1,0,56,0,36,3,3,1,4.0,2,2,21,0,4,1,3,456,0.36130952380952386,0.5988095238095238
147,3,0,0,1,12,0,23,61,2,30,11,7,12,3.5,0,1,24,0,9,3,4,910,0.20089285714285715,0.5571428571428572
148,2,0,0,0,1,0,0,1,0,0,0,0,0,3.0,0,1,1,0,1,1,2,299,0.1433333333333333,0.4600000000000001
149,3,0,0,0,0,0,0,71,0,38,12,7,17,4.0,1,1,13,0,7,1,3,757,0.2357142857142857,0.360989010989011
150,4,0,0,0,0,0,0,12,2,3,0,0,2,4.0,1,0,0,0,5,2,3,553,0.48,0.44000000000000006
151,5,3,2,1,395,47,86,363,15,906,651,272,596,4.0,1,2,18,0,26,3,3,542,0.3215007215007215,0.33015873015873015
152,5,0,0,0,0,0,0,4,0,0,0,0,0,4.0,1,1,13,0,3,2,4,987,0.6625,0.5541666666666667
153,2,0,0,0,119,7,23,263,14,284,106,48,106,4.0,1,0,38,0,8,2,3,1160,0.019696969696969702,0.5825757575757575
154,4,0,0,0,106,22,0,660,25,700,364,116,178,4.0,1,1,35,0,19,2,3,771,0.22173809523809518,0.4426666666666666
155,4,0,0,0,11,2,0,77,0,21,8,8,3,4.0,1,2,13,0,11,2,4,715,0.2,0.625
156,5,7,6,6,26,6,0,118,3,254,198,38,120,4.0,1,0,2,0,11,3,3,1545,0.061868686868686865,0.47777777777777775
157,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,5,78,0.3333333333333333,0.3833333333333333
158,5,0,0,0,0,0,0,4,0,0,0,0,0,4.0,1,1,5,0,2,1,3,779,0.3067708333333333,0.6817708333333333
159,5,0,0,0,14,0,72,11,0,3,1,2,0,4.0,1,0,0,0,2,1,4,593,0.43387445887445886,0.5256926406926408
160,5,0,0,0,0,0,0,8,0,0,0,0,0,3.5,1,0,0,0,7,4,3,314,0.5700000000000001,0.4600000000000001
161,4,0,0,0,0,0,6,11,0,1,1,1,0,4.0,1,1,1,0,3,1,3,396,0.44000000000000006,0.78
162,5,0,0,0,0,0,0,3,0,1,2,0,0,4.0,1,0,0,0,3,3,4,261,0.43000000000000005,0.73
163,4,0,0,0,0,0,0,4,1,0,0,0,0,4.0,1,1,22,0,4,4,4,495,0.4333333333333333,0.5
164,4,0,0,0,0,1,0,13,2,11,0,0,7,4.0,1,1,0,0,2,1,2,248,0.43,0.73
165,4,0,0,0,0,0,0,3,0,0,0,0,0,4.0,1,2,13,0,1,1,3,529,0.1875,0.425
166,5,3,3,2,44,1,1,21,2,52,23,6,12,4.0,1,2,31,0,7,2,3,1009,0.22561274509803925,0.44914215686274517
167,4,0,0,0,15,1,0,9,1,3,0,0,0,4.0,1,2,0,0,5,2,4,299,0.3,0.4777777777777778
168,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,2,1,0,1,1,1,406,-0.11111111111111109,0.4055555555555556
169,5,0,0,0,1,0,0,26,0,8,8,1,6,4.0,1,2,13,0,7,3,4,815,0.16666666666666669,0.425
170,1,0,0,0,0,0,0,1,0,2,0,0,0,3.5,1,2,0,0,1,1,1,862,0.08666666666666667,0.4888888888888889
171,3,1,1,0,6,1,0,24,1,17,7,4,9,4.0,1,1,14,0,4,1,3,1296,0.2269800275482094,0.5933712121212121
172,4,2,2,0,1,0,0,10,1,17,6,0,3,4.0,1,2,17,0,6,2,3,660,0.14233511586452763,0.4637254901960784
173,4,0,0,0,4,0,1,48,0,30,5,3,6,4.0,1,0,26,0,12,3,3,354,0.05333333333333332,0.38000000000000006
174,5,0,0,0,0,0,0,5,0,2,0,0,0,4.0,1,1,0,0,5,5,4,457,0.18,0.44435897435897437
175,3,0,0,0,0,0,0,6,0,2,0,1,2,4.0,1,2,4,0,1,1,2,295,0.3916666666666667,0.6266666666666667
176,5,0,0,0,4,3,0,18,0,8,2,1,0,4.0,1,2,9,0,10,4,4,469,0.6233766233766234,0.5814935064935065
177,5,0,0,0,0,0,0,16,0,4,4,1,0,4.0,1,3,8,0,4,1,3,602,0.6,0.6
178,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,3,0,0,1,1,5,556,0.425,0.38888888888888884
179,3,0,0,0,0,0,0,6,0,4,0,0,1,3.5,1,2,0,0,5,3,4,391,0.42500000000000004,0.625
180,2,2,1,0,23,14,0,290,3,533,256,37,216,3.5,1,1,40,0,9,1,3,665,0.24345238095238095,0.625
181,2,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,2,0,0,1,1,2,1834,0.27218614718614725,0.6221861471861472
182,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,0,2,0,0,1,1,5,284,0.5,0.6
183,4,3,2,0,39,0,8,22,0,13,5,6,1,4.0,1,1,27,0,3,1,4,312,0.35909090909090907,0.5085437710437711
184,3,1,1,0,667,30,120,232,120,246,123,116,69,3.5,0,2,12,0,14,2,4,539,0.26666666666666666,0.2833333333333334
185,5,2,2,2,197,19,0,430,47,964,820,277,428,4.0,1,1,80,0,14,2,4,527,0.0,0.0
186,4,2,1,0,53,5,0,152,5,376,300,84,146,3.5,0,1,30,0,6,1,3,1077,0.19,0.51
187,4,0,1,0,9,0,1,14,0,11,5,1,2,4.0,1,1,21,0,8,3,3,451,0.27714285714285714,0.38476190476190475
188,1,0,0,0,0,1,0,1,0,9,0,0,2,4.0,1,2,0,0,1,1,1,1148,-0.4444444444444445,0.5
189,4,0,0,0,0,0,0,5,0,0,0,0,0,4.0,1,1,0,0,3,2,4,504,0.17857142857142858,0.2857142857142857
190,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,5,479,0.25,0.43703703703703706
191,3,0,0,0,2,0,0,3,0,0,0,0,0,3.5,1,1,0,0,1,1,3,974,0.18484848484848485,0.4848484848484849
192,3,0,0,0,0,0,0,35,2,3,0,0,1,4.0,1,1,2,0,7,3,3,345,0.30773809523809514,0.4942212301587301
193,1,0,0,0,1,0,0,5,0,20,2,1,1,3.5,1,2,0,0,2,1,3,1048,-0.008616780045351472,0.6596371882086167
194,5,0,0,0,0,0,0,2,0,0,0,0,0,4.0,1,2,0,0,2,2,5,251,0.34285714285714286,0.5178571428571428
195,2,0,0,0,0,0,0,3,0,1,1,0,0,4.0,1,2,0,0,3,3,2,530,0.2347222222222222,0.5092592592592593
196,2,0,0,0,0,0,0,2,0,0,0,0,1,4.0,1,1,2,0,1,1,3,1466,0.2558333333333333,0.5754166666666667
197,5,0,0,0,4,1,0,52,5,44,16,2,18,4.0,1,3,31,0,3,1,2,1028,0.49567099567099565,0.46731601731601735
198,5,0,0,0,20,1,0,12,0,4,1,0,0,4.5,1,2,0,0,3,1,3,380,0.18333333333333335,0.3387820512820513
199,4,0,0,0,0,0,0,31,0,34,7,0,7,4.0,1,1,31,0,10,3,3,428,0.19999999999999998,0.8
200,5,0,0,0,0,0,0,2,0,3,1,1,1,4.0,1,1,0,0,2,2,3,459,0.29999999999999993,0.3
201,4,0,0,0,0,1,0,7,0,0,0,0,2,3.5,1,1,0,0,3,2,3,350,0.3,0.2333333333333333
202,4,0,0,0,15,5,15,88,0,68,25,10,14,4.0,1,1,8,0,33,5,3,819,-0.047058823529411764,0.546078431372549
203,5,0,1,0,0,0,0,17,0,7,2,1,0,4.0,1,1,15,0,4,1,3,781,0.45,0.5733333333333334
204,3,0,0,0,37,1,0,41,2,48,18,11,19,4.0,1,1,28,0,7,1,3,1841,0.15783208020050127,0.5757309941520468
205,4,2,1,3,18,0,0,31,2,110,74,91,124,4.0,1,2,12,0,2,1,3,1907,0.08379629629629631,0.4138888888888889
206,5,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,1,0,0,1,1,5,280,0.2,0.25
207,4,1,0,0,0,0,5,59,7,24,3,1,4,4.0,1,1,5,0,9,3,3,505,0.25991436100131754,0.4112318840579711
208,1,0,0,0,0,0,0,7,0,4,0,0,0,4.0,1,1,24,0,3,1,3,621,0.04952380952380952,0.6445238095238095
209,3,0,0,0,9,0,12,13,1,19,6,1,11,2.5,0,1,12,0,4,1,3,482,0.1111111111111111,0.3037037037037037
210,5,0,0,0,23,0,0,1,0,5,3,0,2,4.0,1,1,0,0,1,1,5,2311,0.32045977011494253,0.4502298850574712
211,4,0,0,0,0,0,0,9,0,0,0,0,0,4.5,1,2,3,0,2,1,3,247,0.5083333333333333,0.625
212,5,3,2,2,106,20,0,610,3,543,234,158,128,4.0,1,1,35,0,8,1,3,746,0.5315934065934065,0.6565934065934065
213,5,0,0,0,164,22,2,1247,30,602,254,58,102,4.0,1,2,22,0,57,3,3,260,0.15833333333333333,0.5083333333333333
